Time,"Conductivity, mS","Temperature, C"
14:22:07,0.66,25.7
0,0,0
0,0,0
14:22:09,0.661,25.7
0,0,0
0,0,0
14:22:11,0.662,25.7
0,0,0
0,0,0
14:22:13,0.664,25.7
0,0,0
0,0,0
14:22:15,0.665,25.7
0,0,0
0,0,0
14:22:17,0.665,25.7
0,0,0
0,0,0
14:22:19,0.666,25.7
0,0,0
0,0,0
14:22:21,0.667,25.7
0,0,0
0,0,0
14:22:23,0.668,25.7
0,0,0
0,0,0
14:22:25,0.669,25.7
0,0,0
0,0,0
14:22:27,0.669,25.7
0,0,0
0,0,0
14:22:29,0.67,25.7
0,0,0
0,0,0
14:22:31,0.67,25.7
0,0,0
0,0,0
14:22:33,0.671,25.8
0,0,0
0,0,0
14:22:35,0.671,25.8
0,0,0
0,0,0
14:22:37,0.671,25.8
0,0,0
0,0,0
14:22:39,0.671,25.8
0,0,0
0,0,0
14:22:41,0.672,25.8
0,0,0
0,0,0
14:22:43,0.673,25.8
0,0,0
0,0,0
14:22:45,0.673,25.8
0,0,0
0,0,0
14:22:47,0.674,25.8
0,0,0
0,0,0
14:22:49,0.675,25.8
0,0,0
0,0,0
14:22:51,0.675,25.8
0,0,0
0,0,0
14:22:53,0.676,25.8
0,0,0
0,0,0
14:22:55,0.677,25.8
0,0,0
0,0,0
14:22:57,0.677,25.8
0,0,0
0,0,0
14:22:59,0.678,25.8
0,0,0
0,0,0
14:23:01,0.679,25.8
0,0,0
0,0,0
14:23:03,0.679,25.8
0,0,0
0,0,0
14:23:05,0.68,25.8
0,0,0
0,0,0
14:23:07,0.681,25.8
0,0,0
0,0,0
14:23:09,0.682,25.8
0,0,0
0,0,0
14:23:11,0.683,25.8
0,0,0
0,0,0
14:23:13,0.684,25.8
0,0,0
0,0,0
14:23:15,0.684,25.8
0,0,0
0,0,0
14:23:17,0.684,25.8
0,0,0
0,0,0
14:23:19,0.685,25.8
0,0,0
0,0,0
14:23:21,0.685,25.8
0,0,0
0,0,0
14:23:23,0.686,25.8
0,0,0
0,0,0
14:23:25,0.686,25.8
0,0,0
0,0,0
14:23:27,0.687,25.8
0,0,0
0,0,0
14:23:29,0.688,25.8
0,0,0
0,0,0
14:23:31,0.688,25.8
0,0,0
0,0,0
14:23:33,0.689,25.8
0,0,0
0,0,0
14:23:35,0.689,25.8
0,0,0
0,0,0
14:23:37,0.69,25.8
0,0,0
0,0,0
14:23:39,0.691,25.8
0,0,0
0,0,0
