Time,Conductivity,"Temperature, C"
0,0,0
12:26:48,14.9,22.5
0,0,0
0,0,0
12:26:50,14.9,22.5
0,0,0
0,0,0
12:26:52,14.9,22.5
0,0,0
0,0,0
12:26:54,14.9,22.5
0,0,0
0,0,0
12:26:56,14.9,22.5
0,0,0
0,0,0
12:26:58,14.9,22.5
0,0,0
0,0,0
12:27:00,14.9,22.5
0,0,0
0,0,0
12:27:02,14.9,22.5
0,0,0
0,0,0
12:27:04,14.9,22.5
0,0,0
0,0,0
12:27:06,14.9,22.5
0,0,0
0,0,0
12:27:08,14.9,22.5
0,0,0
0,0,0
12:27:10,14.9,22.5
0,0,0
0,0,0
12:27:12,14.9,22.5
0,0,0
0,0,0
12:27:14,14.9,22.5
0,0,0
0,0,0
12:27:16,14.9,22.5
0,0,0
0,0,0
12:27:18,14.9,22.5
0,0,0
0,0,0
12:27:20,14.9,22.5
0,0,0
0,0,0
12:27:22,14.9,22.5
0,0,0
0,0,0
12:27:24,14.9,22.5
0,0,0
0,0,0
12:27:26,14.9,22.5
0,0,0
0,0,0
12:27:28,14.9,22.5
0,0,0
0,0,0
12:27:30,14.9,22.5
0,0,0
0,0,0
12:27:32,14.9,22.5
0,0,0
0,0,0
12:27:34,14.9,22.5
0,0,0
0,0,0
12:27:36,14.9,22.5
0,0,0
0,0,0
12:27:38,14.9,22.5
0,0,0
0,0,0
12:27:40,14.9,22.5
0,0,0
0,0,0
12:27:42,14.9,22.5
0,0,0
0,0,0
12:27:44,14.9,22.5
0,0,0
0,0,0
12:27:46,14.9,22.5
0,0,0
0,0,0
12:27:48,14.9,22.5
0,0,0
0,0,0
12:27:50,14.9,22.5
0,0,0
0,0,0
12:27:52,14.9,22.5
0,0,0
0,0,0
12:27:54,14.9,22.5
0,0,0
0,0,0
12:27:56,14.9,22.5
0,0,0
0,0,0
12:27:58,14.9,22.5
0,0,0
0,0,0
12:28:00,14.9,22.5
0,0,0
0,0,0
12:28:02,14.9,22.5
0,0,0
0,0,0
12:28:04,14.9,22.5
0,0,0
0,0,0
12:28:06,14.9,22.5
0,0,0
0,0,0
12:28:08,14.9,22.5
0,0,0
0,0,0
12:28:10,14.9,22.5
0,0,0
0,0,0
12:28:12,14.9,22.5
0,0,0
0,0,0
12:28:14,14.9,22.5
0,0,0
0,0,0
12:28:16,14.9,22.5
0,0,0
0,0,0
12:28:18,14.9,22.5
0,0,0
0,0,0
12:28:20,14.9,22.5
0,0,0
0,0,0
12:28:22,14.9,22.5
0,0,0
0,0,0
12:28:24,14.9,22.5
0,0,0
0,0,0
12:28:26,14.9,22.5
0,0,0
0,0,0
12:28:28,14.9,22.5
0,0,0
0,0,0
12:28:30,14.9,22.5
0,0,0
0,0,0
12:28:32,14.9,22.5
0,0,0
0,0,0
12:28:34,14.9,22.5
0,0,0
0,0,0
12:28:36,14.9,22.5
0,0,0
0,0,0
12:28:38,14.9,22.5
0,0,0
0,0,0
12:28:40,14.9,22.5
0,0,0
0,0,0
12:28:42,14.9,22.5
0,0,0
0,0,0
12:28:44,14.9,22.5
0,0,0
0,0,0
12:28:46,14.9,22.5
0,0,0
0,0,0
12:28:48,14.9,22.5
0,0,0
0,0,0
12:28:50,14.9,22.5
0,0,0
0,0,0
12:28:52,14.9,22.5
0,0,0
0,0,0
12:28:54,14.9,22.5
0,0,0
0,0,0
12:28:56,14.9,22.5
0,0,0
0,0,0
12:28:58,14.9,22.5
0,0,0
0,0,0
12:29:00,14.9,22.5
0,0,0
0,0,0
12:29:02,14.9,22.5
0,0,0
0,0,0
12:29:04,14.9,22.5
0,0,0
0,0,0
12:29:06,14.9,22.5
0,0,0
0,0,0
12:29:08,14.9,22.5
0,0,0
0,0,0
12:29:10,14.9,22.5
0,0,0
0,0,0
12:29:12,14.9,22.5
0,0,0
0,0,0
12:29:14,14.9,22.5
0,0,0
0,0,0
12:29:16,14.9,22.5
0,0,0
0,0,0
12:29:18,14.9,22.5
0,0,0
0,0,0
12:29:20,14.9,22.5
0,0,0
0,0,0
12:29:22,14.9,22.5
0,0,0
0,0,0
12:29:24,14.9,22.5
0,0,0
0,0,0
12:29:26,14.9,22.5
0,0,0
0,0,0
12:29:28,14.9,22.5
0,0,0
0,0,0
12:29:30,14.9,22.5
0,0,0
0,0,0
12:29:32,14.9,22.5
0,0,0
0,0,0
12:29:34,14.9,22.5
0,0,0
0,0,0
12:29:36,14.9,22.5
0,0,0
0,0,0
12:29:38,14.9,22.5
0,0,0
0,0,0
12:29:40,14.9,22.5
0,0,0
0,0,0
12:29:42,14.9,22.5
0,0,0
0,0,0
12:29:44,14.9,22.5
0,0,0
0,0,0
12:29:46,14.9,22.5
0,0,0
0,0,0
12:29:48,14.9,22.5
0,0,0
0,0,0
12:29:50,14.9,22.5
0,0,0
0,0,0
12:29:52,14.9,22.6
0,0,0
0,0,0
12:29:54,14.8,22.6
0,0,0
0,0,0
12:29:56,14.8,22.5
0,0,0
0,0,0
12:29:58,14.8,22.5
0,0,0
0,0,0
12:30:00,14.8,22.5
0,0,0
0,0,0
12:30:02,14.9,22.5
0,0,0
0,0,0
12:30:04,14.9,22.5
0,0,0
0,0,0
12:30:06,14.9,22.5
0,0,0
0,0,0
12:30:08,14.9,22.5
0,0,0
0,0,0
12:30:10,14.9,22.5
0,0,0
0,0,0
12:30:12,14.9,22.6
0,0,0
0,0,0
12:30:14,14.9,22.6
0,0,0
0,0,0
12:30:16,14.9,22.6
0,0,0
0,0,0
12:30:18,14.9,22.6
0,0,0
0,0,0
12:30:20,14.8,22.6
0,0,0
0,0,0
12:30:22,14.8,22.5
0,0,0
0,0,0
12:30:24,14.8,22.5
0,0,0
0,0,0
12:30:26,14.8,22.6
0,0,0
0,0,0
12:30:28,14.8,22.5
0,0,0
0,0,0
12:30:30,14.9,22.6
0,0,0
0,0,0
12:30:32,14.9,22.5
0,0,0
0,0,0
12:30:34,14.8,22.5
0,0,0
0,0,0
12:30:36,14.8,22.5
0,0,0
0,0,0
12:30:38,14.8,22.5
0,0,0
0,0,0
12:30:40,14.8,22.5
0,0,0
0,0,0
12:30:42,14.8,22.5
0,0,0
0,0,0
12:30:44,14.9,22.5
0,0,0
0,0,0
12:30:46,14.9,22.5
0,0,0
0,0,0
12:30:48,14.8,22.5
0,0,0
0,0,0
12:30:50,14.8,22.5
0,0,0
0,0,0
12:30:52,14.8,22.5
0,0,0
0,0,0
12:30:54,14.8,22.5
0,0,0
0,0,0
12:30:56,14.8,22.5
0,0,0
0,0,0
12:30:58,14.8,22.5
0,0,0
0,0,0
12:31:00,14.8,22.5
0,0,0
0,0,0
12:31:02,14.8,22.5
0,0,0
0,0,0
12:31:04,14.8,22.5
0,0,0
0,0,0
12:31:06,14.8,22.5
0,0,0
0,0,0
12:31:08,14.8,22.5
0,0,0
0,0,0
12:31:10,14.8,22.5
0,0,0
0,0,0
12:31:12,14.8,22.5
0,0,0
0,0,0
12:31:14,14.8,22.6
0,0,0
0,0,0
12:31:16,14.8,22.6
0,0,0
0,0,0
12:31:18,14.8,22.6
0,0,0
0,0,0
12:31:20,14.8,22.5
0,0,0
0,0,0
12:31:22,14.8,22.6
0,0,0
0,0,0
12:31:24,14.8,22.6
0,0,0
0,0,0
12:31:26,14.8,22.6
0,0,0
0,0,0
12:31:28,14.8,22.6
0,0,0
0,0,0
12:31:30,14.8,22.6
0,0,0
0,0,0
12:31:32,14.8,22.6
0,0,0
0,0,0
12:31:34,14.8,22.6
0,0,0
0,0,0
12:31:36,14.8,22.6
0,0,0
0,0,0
12:31:38,14.8,22.5
0,0,0
0,0,0
12:31:40,14.8,22.6
0,0,0
0,0,0
12:31:42,14.8,22.6
0,0,0
0,0,0
12:31:44,14.8,22.6
0,0,0
0,0,0
12:31:46,14.8,22.6
0,0,0
0,0,0
12:31:48,14.8,22.6
0,0,0
0,0,0
12:31:50,14.8,22.6
0,0,0
0,0,0
12:31:52,14.8,22.6
0,0,0
0,0,0
12:31:54,14.8,22.6
0,0,0
0,0,0
12:31:56,14.8,22.6
0,0,0
0,0,0
12:31:58,4.7,22.6
0,0,0
0,0,0
12:32:00,0,22.6
0,0,0
0,0,0
12:32:02,0,22.5
0,0,0
0,0,0
12:32:04,0,22.5
0,0,0
0,0,0
12:32:06,31.5,22.6
0,0,0
0,0,0
12:32:08,55.2,22.7
0,0,0
0,0,0
12:32:10,55.1,22.7
0,0,0
0,0,0
12:32:12,55.1,22.6
0,0,0
0,0,0
12:32:14,55.1,22.6
0,0,0
0,0,0
12:32:16,55.1,22.6
0,0,0
0,0,0
12:32:18,55.2,22.5
0,0,0
0,0,0
12:32:20,55.3,22.5
0,0,0
0,0,0
12:32:22,55.3,22.5
0,0,0
0,0,0
12:32:24,55.3,22.4
0,0,0
0,0,0
12:32:26,55.4,22.4
0,0,0
0,0,0
12:32:28,55.4,22.3
0,0,0
0,0,0
12:32:30,55.5,22.3
0,0,0
0,0,0
12:32:32,55.5,22.3
0,0,0
0,0,0
12:32:34,55.5,22.2
0,0,0
0,0,0
12:32:36,55.6,22.2
0,0,0
0,0,0
12:32:38,55.6,22.2
0,0,0
0,0,0
12:32:40,55.7,22.2
0,0,0
0,0,0
12:32:42,55.7,22.1
0,0,0
0,0,0
12:32:44,55.7,22.1
0,0,0
0,0,0
12:32:46,55.8,22.1
0,0,0
0,0,0
12:32:48,55.8,22.1
0,0,0
0,0,0
12:32:50,55.8,22.1
0,0,0
0,0,0
12:32:52,55.9,22
0,0,0
0,0,0
12:32:54,55.9,22
0,0,0
0,0,0
12:32:56,55.9,22
0,0,0
0,0,0
12:32:58,55.9,22
0,0,0
0,0,0
12:33:00,55.9,22
0,0,0
0,0,0
12:33:02,56,22
0,0,0
0,0,0
12:33:04,56,21.9
0,0,0
0,0,0
12:33:06,56,21.9
0,0,0
0,0,0
12:33:08,56,21.9
0,0,0
0,0,0
12:33:10,56,21.9
0,0,0
0,0,0
12:33:12,56.1,21.9
0,0,0
0,0,0
12:33:14,56.1,21.9
0,0,0
0,0,0
12:33:16,56.1,21.9
0,0,0
0,0,0
12:33:18,56.1,21.9
0,0,0
0,0,0
12:33:20,56.1,21.9
0,0,0
0,0,0
12:33:22,56.1,21.9
0,0,0
0,0,0
12:33:24,56.1,21.9
0,0,0
0,0,0
12:33:26,56.1,21.9
0,0,0
0,0,0
12:33:28,56.1,21.8
0,0,0
0,0,0
12:33:30,56.1,21.8
0,0,0
0,0,0
12:33:32,56.1,21.8
0,0,0
0,0,0
12:33:34,56.2,21.8
0,0,0
0,0,0
12:33:36,56.2,21.8
0,0,0
0,0,0
12:33:38,56.2,21.8
0,0,0
0,0,0
12:33:40,56.2,21.8
0,0,0
0,0,0
12:33:42,56.2,21.8
0,0,0
0,0,0
12:33:44,56.2,21.8
0,0,0
0,0,0
12:33:46,56.2,21.8
0,0,0
0,0,0
12:33:48,56.2,21.8
0,0,0
0,0,0
12:33:50,56.2,21.8
0,0,0
0,0,0
12:33:52,56.2,21.8
0,0,0
0,0,0
12:33:54,56.2,21.8
0,0,0
0,0,0
12:33:56,56.2,21.8
0,0,0
0,0,0
12:33:58,56.2,21.8
0,0,0
0,0,0
12:34:00,56.2,21.8
0,0,0
0,0,0
12:34:02,56.2,21.7
0,0,0
0,0,0
12:34:04,56.2,21.8
0,0,0
0,0,0
12:34:06,56.2,21.8
0,0,0
0,0,0
12:34:08,56.2,21.7
0,0,0
0,0,0
12:34:10,56.3,21.7
0,0,0
0,0,0
12:34:12,56.3,21.7
0,0,0
0,0,0
12:34:14,56.3,21.7
0,0,0
0,0,0
12:34:16,56.3,21.7
0,0,0
0,0,0
12:34:18,56.3,21.7
0,0,0
0,0,0
12:34:20,56.3,21.7
0,0,0
0,0,0
12:34:22,56.3,21.7
0,0,0
0,0,0
12:34:24,56.3,21.7
0,0,0
0,0,0
12:34:26,56.4,21.7
0,0,0
0,0,0
12:34:28,56.4,21.7
0,0,0
0,0,0
12:34:30,56.4,21.7
0,0,0
0,0,0
12:34:32,56.4,21.7
0,0,0
0,0,0
12:34:34,56.4,21.7
0,0,0
0,0,0
12:34:36,56.4,21.7
0,0,0
0,0,0
12:34:38,56.4,21.7
0,0,0
0,0,0
12:34:40,56.4,21.7
0,0,0
0,0,0
12:34:42,56.4,21.7
0,0,0
0,0,0
12:34:44,56.4,21.7
0,0,0
0,0,0
12:34:46,56.4,21.7
0,0,0
0,0,0
12:34:48,56.4,21.7
0,0,0
0,0,0
12:34:50,56.4,21.7
0,0,0
0,0,0
12:34:52,56.4,21.7
0,0,0
0,0,0
12:34:54,56.4,21.7
0,0,0
0,0,0
12:34:56,56.4,21.7
0,0,0
0,0,0
12:34:58,56.4,21.7
0,0,0
0,0,0
12:35:00,56.4,21.7
0,0,0
0,0,0
12:35:02,56.4,21.7
0,0,0
0,0,0
12:35:04,56.4,21.7
0,0,0
0,0,0
12:35:06,56.4,21.7
0,0,0
0,0,0
12:35:08,56.4,21.7
0,0,0
0,0,0
12:35:10,56.4,21.7
0,0,0
0,0,0
12:35:12,56.4,21.7
0,0,0
0,0,0
12:35:14,56.4,21.7
0,0,0
0,0,0
12:35:16,56.4,21.7
0,0,0
0,0,0
12:35:18,56.4,21.7
0,0,0
0,0,0
12:35:20,56.4,21.7
0,0,0
0,0,0
12:35:22,56.4,21.7
0,0,0
0,0,0
12:35:24,56.4,21.7
0,0,0
0,0,0
12:35:26,56.4,21.7
0,0,0
0,0,0
12:35:28,56.4,21.7
0,0,0
0,0,0
12:35:30,56.4,21.7
0,0,0
0,0,0
12:35:32,56.4,21.7
0,0,0
0,0,0
12:35:34,56.4,21.7
0,0,0
0,0,0
12:35:36,56.4,21.7
0,0,0
0,0,0
12:35:38,56.4,21.7
0,0,0
0,0,0
12:35:40,56.4,21.7
0,0,0
0,0,0
12:35:42,56.4,21.7
0,0,0
0,0,0
12:35:44,56.4,21.7
0,0,0
0,0,0
12:35:46,56.4,21.6
0,0,0
0,0,0
12:35:48,56.4,21.6
0,0,0
0,0,0
12:35:50,56.4,21.6
0,0,0
0,0,0
12:35:52,56.5,21.6
0,0,0
0,0,0
12:35:54,56.5,21.6
0,0,0
0,0,0
12:35:56,56.5,21.6
0,0,0
0,0,0
12:35:58,56.5,21.6
0,0,0
0,0,0
12:36:00,56.5,21.6
0,0,0
0,0,0
12:36:02,56.5,21.6
0,0,0
0,0,0
12:36:04,56.5,21.6
0,0,0
0,0,0
12:36:06,56.5,21.6
0,0,0
0,0,0
12:36:08,56.5,21.6
0,0,0
0,0,0
12:36:10,56.5,21.6
0,0,0
0,0,0
12:36:12,56.5,21.6
0,0,0
0,0,0
12:36:14,56.5,21.6
0,0,0
0,0,0
12:36:16,56.5,21.6
0,0,0
0,0,0
12:36:18,56.5,21.6
0,0,0
0,0,0
12:36:20,56.5,21.6
0,0,0
0,0,0
12:36:22,56.5,21.6
0,0,0
0,0,0
12:36:24,56.5,21.6
0,0,0
0,0,0
12:36:26,56.5,21.6
0,0,0
0,0,0
12:36:28,56.5,21.6
0,0,0
0,0,0
12:36:30,56.5,21.6
0,0,0
0,0,0
12:36:32,56.5,21.6
0,0,0
0,0,0
12:36:34,56.5,21.6
0,0,0
0,0,0
12:36:36,56.5,21.6
0,0,0
0,0,0
12:36:38,56.5,21.6
0,0,0
0,0,0
12:36:40,56.5,21.6
0,0,0
0,0,0
12:36:42,56.5,21.6
0,0,0
0,0,0
12:36:44,56.5,21.6
0,0,0
0,0,0
12:36:46,56.5,21.6
0,0,0
0,0,0
12:36:48,56.5,21.6
0,0,0
0,0,0
12:36:50,56.5,21.6
0,0,0
0,0,0
12:36:52,56.5,21.6
0,0,0
0,0,0
12:36:54,56.5,21.6
0,0,0
0,0,0
12:36:56,56.5,21.6
0,0,0
0,0,0
12:36:58,56.5,21.6
0,0,0
0,0,0
12:37:00,56.5,21.6
0,0,0
0,0,0
12:37:02,56.5,21.6
0,0,0
0,0,0
12:37:04,56.5,21.6
0,0,0
0,0,0
12:37:06,56.5,21.6
0,0,0
0,0,0
12:37:08,56.5,21.6
0,0,0
0,0,0
12:37:10,56.5,21.6
0,0,0
0,0,0
12:37:12,56.5,21.6
0,0,0
0,0,0
12:37:14,56.5,21.6
0,0,0
0,0,0
12:37:16,56.5,21.6
0,0,0
0,0,0
12:37:18,56.5,21.6
0,0,0
0,0,0
12:37:20,56.5,21.6
0,0,0
0,0,0
12:37:22,56.5,21.6
0,0,0
0,0,0
12:37:24,56.5,21.6
0,0,0
0,0,0
12:37:26,56.5,21.6
0,0,0
0,0,0
12:37:28,56.5,21.6
0,0,0
0,0,0
12:37:30,56.5,21.6
0,0,0
0,0,0
12:37:32,56.5,21.6
0,0,0
0,0,0
12:37:34,56.5,21.6
0,0,0
0,0,0
12:37:36,56.5,21.6
0,0,0
0,0,0
12:37:38,56.5,21.6
0,0,0
0,0,0
12:37:40,56.5,21.6
0,0,0
0,0,0
12:37:42,56.5,21.6
0,0,0
0,0,0
12:37:44,56.5,21.6
0,0,0
0,0,0
12:37:46,56.5,21.6
0,0,0
0,0,0
12:37:48,56.5,21.6
0,0,0
0,0,0
12:37:50,56.5,21.6
0,0,0
0,0,0
12:37:52,56.5,21.6
0,0,0
0,0,0
12:37:54,56.5,21.6
0,0,0
0,0,0
12:37:56,56.5,21.6
0,0,0
0,0,0
12:37:58,56.5,21.6
0,0,0
0,0,0
12:38:00,56.5,21.6
0,0,0
0,0,0
12:38:02,56.5,21.6
0,0,0
0,0,0
12:38:04,56.5,21.6
0,0,0
0,0,0
12:38:06,56.5,21.6
0,0,0
0,0,0
12:38:08,56.5,21.6
0,0,0
0,0,0
12:38:10,56.5,21.6
0,0,0
0,0,0
12:38:12,56.5,21.6
0,0,0
0,0,0
12:38:14,56.5,21.6
0,0,0
0,0,0
12:38:16,56.5,21.6
0,0,0
0,0,0
12:38:18,56.5,21.5
0,0,0
0,0,0
12:38:20,56.5,21.6
0,0,0
0,0,0
12:38:22,56.5,21.6
0,0,0
0,0,0
12:38:24,56.5,21.5
0,0,0
0,0,0
12:38:26,56.6,21.5
0,0,0
0,0,0
12:38:28,56.5,21.5
