Time,"Conductivity, mS","Temperature, C"
0,0,0
12:44:14,0.806,24.1
0,0,0
0,0,0
12:44:16,0.807,24.1
0,0,0
0,0,0
12:44:18,0.808,24.1
0,0,0
0,0,0
12:44:20,0.808,24.1
0,0,0
0,0,0
12:44:22,0.808,24.1
0,0,0
0,0,0
12:44:24,0.808,24.1
0,0,0
0,0,0
12:44:26,0.809,24.1
0,0,0
0,0,0
12:44:28,0.809,24.1
0,0,0
0,0,0
12:44:30,0.809,24.1
0,0,0
0,0,0
12:44:32,0.81,24.1
0,0,0
0,0,0
12:44:34,0.81,24.1
0,0,0
0,0,0
12:44:36,0.81,24.1
0,0,0
0,0,0
12:44:38,0.811,24.1
0,0,0
0,0,0
12:44:40,0.812,24.1
0,0,0
0,0,0
12:44:42,0.812,24.1
0,0,0
0,0,0
12:44:44,0.812,24.1
0,0,0
0,0,0
12:44:46,0.813,24.1
0,0,0
0,0,0
12:44:48,0.813,24.1
0,0,0
0,0,0
12:44:50,0.814,24.1
0,0,0
0,0,0
12:44:52,0.814,24.2
0,0,0
0,0,0
12:44:54,0.814,24.2
0,0,0
0,0,0
12:44:56,0.814,24.2
0,0,0
0,0,0
12:44:58,0.814,24.2
0,0,0
0,0,0
12:45:00,0.814,24.2
0,0,0
0,0,0
12:45:02,0.814,24.2
0,0,0
0,0,0
12:45:04,0.814,24.2
0,0,0
0,0,0
12:45:06,0.815,24.2
0,0,0
0,0,0
12:45:08,0.815,24.2
0,0,0
0,0,0
12:45:10,0.816,24.2
0,0,0
0,0,0
12:45:12,0.816,24.2
0,0,0
0,0,0
12:45:14,0.816,24.2
0,0,0
0,0,0
12:45:16,0.817,24.2
0,0,0
0,0,0
12:45:18,0.817,24.2
0,0,0
0,0,0
12:45:20,0.817,24.2
0,0,0
0,0,0
12:45:22,0.817,24.2
0,0,0
0,0,0
12:45:24,0.818,24.2
0,0,0
0,0,0
12:45:26,0.818,24.2
0,0,0
0,0,0
12:45:28,0.819,24.2
0,0,0
0,0,0
12:45:30,0.819,24.2
0,0,0
0,0,0
12:45:32,0.819,24.2
0,0,0
0,0,0
12:45:34,0.819,24.2
0,0,0
0,0,0
12:45:36,0.819,24.2
0,0,0
0,0,0
12:45:38,0.819,24.2
0,0,0
0,0,0
12:45:40,0.819,24.2
0,0,0
0,0,0
12:45:42,0.819,24.2
0,0,0
0,0,0
12:45:44,0.82,24.2
0,0,0
0,0,0
12:45:46,0.82,24.2
0,0,0
0,0,0
12:45:48,0.821,24.2
0,0,0
0,0,0
12:45:50,0.822,24.2
0,0,0
0,0,0
