Time,"Conductivity, mS","Temperature, C"
0,0,0
13:57:38,0.445,22.4
0,0,0
0,0,0
13:57:40,0.445,22.4
0,0,0
0,0,0
13:57:42,0.445,22.4
0,0,0
0,0,0
13:57:44,0.445,22.4
0,0,0
0,0,0
13:57:46,0.445,22.4
0,0,0
0,0,0
13:57:48,0.445,22.4
0,0,0
0,0,0
13:57:50,0.445,22.4
0,0,0
0,0,0
13:57:52,0.445,22.4
0,0,0
0,0,0
13:57:54,0.445,22.4
0,0,0
0,0,0
13:57:56,0.445,22.4
0,0,0
0,0,0
13:57:58,0.445,22.4
0,0,0
0,0,0
13:58:00,0.445,22.4
0,0,0
0,0,0
13:58:02,0.445,22.4
0,0,0
0,0,0
13:58:04,0.445,22.4
0,0,0
0,0,0
13:58:06,0.445,22.4
0,0,0
0,0,0
13:58:08,0.445,22.4
0,0,0
0,0,0
13:58:10,0.445,22.4
0,0,0
0,0,0
13:58:12,0.445,22.4
0,0,0
0,0,0
13:58:14,0.445,22.4
0,0,0
0,0,0
13:58:16,0.445,22.4
0,0,0
0,0,0
13:58:18,0.445,22.4
0,0,0
0,0,0
13:58:20,0.445,22.4
0,0,0
0,0,0
13:58:22,0.445,22.4
0,0,0
0,0,0
13:58:24,0.445,22.4
0,0,0
0,0,0
13:58:26,0.445,22.4
0,0,0
0,0,0
13:58:28,0.445,22.4
0,0,0
0,0,0
13:58:30,0.445,22.4
0,0,0
0,0,0
13:58:32,0.445,22.4
0,0,0
0,0,0
13:58:34,0.445,22.4
0,0,0
0,0,0
13:58:36,0.445,22.4
0,0,0
0,0,0
13:58:38,0.445,22.4
0,0,0
0,0,0
13:58:40,0.445,22.4
0,0,0
0,0,0
13:58:42,0.445,22.4
0,0,0
0,0,0
13:58:44,0.446,22.4
0,0,0
0,0,0
13:58:46,0.446,22.4
0,0,0
0,0,0
13:58:48,0.446,22.4
0,0,0
0,0,0
13:58:50,0.446,22.4
0,0,0
0,0,0
13:58:52,0.446,22.4
0,0,0
0,0,0
13:58:54,0.446,22.4
0,0,0
0,0,0
13:58:56,0.446,22.4
0,0,0
0,0,0
13:58:58,0.446,22.4
0,0,0
0,0,0
13:59:00,0.446,22.4
0,0,0
0,0,0
13:59:02,0.446,22.4
0,0,0
0,0,0
13:59:04,0.446,22.4
0,0,0
0,0,0
13:59:06,0.446,22.4
0,0,0
0,0,0
13:59:08,0.446,22.4
0,0,0
0,0,0
13:59:10,0.446,22.4
0,0,0
0,0,0
13:59:12,0.445,22.4
0,0,0
0,0,0
13:59:14,0.445,22.4
0,0,0
0,0,0
13:59:16,0.445,22.4
0,0,0
0,0,0
13:59:18,0.445,22.4
0,0,0
0,0,0
13:59:20,0.446,22.4
0,0,0
0,0,0
13:59:22,0.446,22.4
0,0,0
0,0,0
13:59:24,0.446,22.4
0,0,0
0,0,0
13:59:26,0.446,22.4
0,0,0
0,0,0
13:59:28,0.446,22.4
0,0,0
0,0,0
13:59:30,0.446,22.4
0,0,0
0,0,0
13:59:32,0.446,22.4
0,0,0
0,0,0
13:59:34,0.446,22.4
0,0,0
0,0,0
13:59:36,0.446,22.4
0,0,0
0,0,0
13:59:38,0.446,22.4
0,0,0
0,0,0
13:59:40,0.446,22.4
0,0,0
0,0,0
13:59:42,0.446,22.4
0,0,0
0,0,0
13:59:44,0.446,22.4
0,0,0
0,0,0
13:59:46,0.446,22.4
0,0,0
0,0,0
13:59:48,0.446,22.4
0,0,0
0,0,0
13:59:50,0.6,22.4
0,0,0
0,0,0
13:59:52,0,22.4
0,0,0
0,0,0
13:59:54,0,22.3
0,0,0
0,0,0
13:59:56,0,22.4
0,0,0
0,0,0
13:59:58,0,22.6
0,0,0
0,0,0
