Time,Conductivity (mS),Temperature (C)
11:09:56,2.1,20.7
0,0,0
0,0,0
11:09:58,2.1,20.6
0,0,0
0,0,0
11:10:00,2.1,20.7
0,0,0
0,0,0
11:10:02,2.1,20.7
0,0,0
0,0,0
11:10:04,2.2,20.7
0,0,0
0,0,0
11:10:06,2.2,20.7
0,0,0
0,0,0
11:10:08,2.2,20.7
0,0,0
0,0,0
11:10:10,2.2,20.6
0,0,0
0,0,0
11:10:12,2.2,20.7
0,0,0
0,0,0
11:10:14,2.2,20.7
0,0,0
0,0,0
11:10:16,2.2,20.7
0,0,0
0,0,0
11:10:18,2.2,20.7
0,0,0
0,0,0
11:10:20,2.2,20.6
0,0,0
0,0,0
11:10:22,2.2,20.6
0,0,0
0,0,0
11:10:24,2.2,20.6
0,0,0
0,0,0
11:10:26,2.1,20.6
0,0,0
0,0,0
11:10:28,2.1,20.6
0,0,0
0,0,0
11:10:30,2.1,20.6
0,0,0
0,0,0
11:10:32,2.1,20.6
0,0,0
0,0,0
11:10:34,2.1,20.6
0,0,0
0,0,0
11:10:36,2.1,20.6
0,0,0
0,0,0
11:10:38,2.1,20.6
0,0,0
0,0,0
11:10:40,2.1,20.6
0,0,0
0,0,0
11:10:42,2.1,20.6
0,0,0
0,0,0
11:10:44,2.1,20.6
0,0,0
0,0,0
11:10:46,2.1,20.6
0,0,0
0,0,0
11:10:48,2.1,20.6
0,0,0
0,0,0
11:10:50,2.1,20.6
0,0,0
0,0,0
11:10:52,2.1,20.6
0,0,0
0,0,0
11:10:54,2.1,20.6
0,0,0
0,0,0
11:10:56,2.1,20.6
0,0,0
0,0,0
11:10:58,2.1,20.6
0,0,0
0,0,0
11:11:00,2.1,20.6
0,0,0
0,0,0
11:11:02,2.1,20.6
0,0,0
0,0,0
11:11:04,2.1,20.6
0,0,0
0,0,0
11:11:06,2.1,20.6
0,0,0
0,0,0
11:11:08,2.1,20.6
0,0,0
0,0,0
11:11:10,2.1,20.6
0,0,0
0,0,0
11:11:12,2.1,20.6
0,0,0
0,0,0
11:11:14,2.1,20.6
0,0,0
0,0,0
11:11:16,2.1,20.6
0,0,0
0,0,0
11:11:18,2.1,20.6
0,0,0
0,0,0
11:11:20,2.1,20.6
0,0,0
0,0,0
11:11:22,2.1,20.6
0,0,0
0,0,0
11:11:24,2.1,20.6
0,0,0
0,0,0
11:11:26,2.1,20.6
0,0,0
0,0,0
11:11:28,2.1,20.6
0,0,0
0,0,0
11:11:30,2.1,20.6
0,0,0
0,0,0
11:11:32,2.1,20.6
0,0,0
0,0,0
11:11:34,2.1,20.6
0,0,0
0,0,0
11:11:36,2.1,20.6
0,0,0
0,0,0
11:11:38,2.1,20.6
0,0,0
0,0,0
11:11:40,2.1,20.6
0,0,0
0,0,0
11:11:42,2.1,20.6
0,0,0
0,0,0
11:11:44,2.1,20.6
0,0,0
0,0,0
11:11:46,2.1,20.6
0,0,0
0,0,0
11:11:48,2.1,20.6
0,0,0
0,0,0
11:11:50,2.1,20.6
0,0,0
0,0,0
11:11:52,2.1,20.6
0,0,0
0,0,0
11:11:54,2.1,20.6
0,0,0
