Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:54:59,11.57,11.97,23.25,1.73,1.78,23.5
10:55:00,12.31,12.73,23.25,1.73,1.79,23.25
10:55:01,13.05,13.57,23,1.28,1.33,23
10:55:02,12.31,12.73,23.25,1.28,1.32,23.25
10:55:03,13.05,13.57,23,1.28,1.31,23.75
10:55:04,12.31,12.86,22.75,1.73,1.78,23.5
10:55:05,11.57,11.97,23.25,2.17,2.24,23.25
10:55:06,12.31,12.73,23.25,1.73,1.8,23
10:55:07,12.31,12.73,23.25,1.28,1.32,23.25
10:55:08,12.31,12.73,23.25,2.17,2.23,23.5
10:55:09,12.31,12.8,23,1.28,1.33,23
10:55:10,11.57,11.91,23.5,1.73,1.79,23.25
10:55:11,13.05,13.63,22.75,1.28,1.31,23.75
10:55:12,11.57,11.97,23.25,1.73,1.78,23.5
10:55:13,11.57,11.97,23.25,1.28,1.32,23.25
10:55:14,11.57,12.03,23,1.73,1.79,23.25
10:55:15,12.31,12.73,23.25,1.28,1.32,23.25
10:55:16,12.31,12.67,23.5,0.84,0.86,23.5
10:55:17,12.31,12.73,23.25,3.46,3.58,23.25
10:55:18,11.57,11.97,23.25,5.24,5.5,22.5
10:55:19,12.31,12.86,22.75,5.24,5.39,23.5
10:55:20,11.57,11.97,23.25,2.62,2.7,23.5
10:55:21,12.31,12.73,23.25,2.62,2.68,23.75
10:55:22,12.31,12.8,23,2.62,2.71,23.25
10:55:23,11.57,12.09,22.75,2.17,2.23,23.5
10:55:24,11.57,11.91,23.5,2.62,2.71,23.25
10:55:25,10.09,10.39,23.5,2.17,2.24,23.25
10:55:26,10.83,11.15,23.5,1.73,1.78,23.5
10:55:27,10.83,11.31,22.75,1.73,1.79,23.25
10:55:28,10.83,11.2,23.25,1.73,1.77,23.75
10:55:29,11.57,11.91,23.5,1.73,1.78,23.5
10:55:30,10.09,10.54,22.75,1.73,1.79,23.25
10:55:31,11.57,12.09,22.75,1.73,1.78,23.5
10:55:32,10.83,11.15,23.5,1.73,1.78,23.5
10:55:33,10.83,11.2,23.25,3.01,3.11,23.25
10:55:34,11.57,11.97,23.25,6.08,6.29,23.25
10:55:35,11.57,12.15,22.5,9.59,9.87,23.5
10:55:35,11.57,12.03,23,9.98,10.32,23.25
10:55:36,11.57,11.97,23.25,10.43,10.68,23.75
10:55:37,11.57,11.97,23.25,10.88,11.2,23.5
10:55:38,11.57,11.97,23.25,10.88,11.2,23.5
10:55:39,11.57,11.97,23.25,11.32,11.77,23
10:55:40,13.05,13.43,23.5,11.78,12.13,23.5
10:55:41,11.57,11.91,23.5,71.42,74.24,23
10:55:42,13.05,13.5,23.25,78.07,81.15,23
10:55:43,10.83,11.2,23.25,505.5,528.08,22.75
10:55:44,10.83,11.2,23.25,644,659.67,23.75
10:55:45,11.57,11.97,23.25,693.3,720.69,23
10:55:46,11.57,11.97,23.25,719.7,740.81,23.5
10:55:47,10.09,10.44,23.25,727.2,752.21,23.25
10:55:48,9.44,9.76,23.25,742.8,768.35,23.25
10:55:49,10.83,11.37,22.5,759.5,785.62,23.25
10:55:50,10.09,10.44,23.25,771.8,786.75,24
10:55:51,11.57,12.09,22.75,783.5,810.45,23.25
10:55:52,10.09,10.44,23.25,793.1,824.43,23
10:55:53,11.57,12.03,23,800.6,820.08,23.75
10:55:54,11.57,11.91,23.5,808.5,836.31,23.25
